날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-11,6665,6750,6580,6750,17000,475300,SOL 반도체전공정
2024-12-12,6895,6945,6800,6910,9698,475300,SOL 반도체전공정
2024-12-13,6910,7000,6880,6930,27791,475300,SOL 반도체전공정
2024-12-16,6935,7000,6855,6890,9859,475300,SOL 반도체전공정
2024-12-17,6930,6990,6845,6910,53841,475300,SOL 반도체전공정
2024-12-18,6890,6970,6830,6970,5448,475300,SOL 반도체전공정
2024-12-19,6860,6860,6770,6790,16460,475300,SOL 반도체전공정
2024-12-20,6750,6750,6585,6620,13819,475300,SOL 반도체전공정
2024-12-23,6760,6810,6650,6800,2937,475300,SOL 반도체전공정
2024-12-24,6860,6860,6750,6810,6310,475300,SOL 반도체전공정
2024-12-26,6790,6790,6600,6650,25953,475300,SOL 반도체전공정
2024-12-27,6710,6815,6600,6645,6315,475300,SOL 반도체전공정
2024-12-30,6650,6765,6600,6750,6927,475300,SOL 반도체전공정
2025-01-02,6760,6830,6625,6830,12316,475300,SOL 반도체전공정
2025-01-03,6865,7150,6865,7150,9046,475300,SOL 반도체전공정
2025-01-06,7200,7385,7200,7380,29767,475300,SOL 반도체전공정
2025-01-07,7520,7520,7285,7300,24206,475300,SOL 반도체전공정
2025-01-08,7235,7575,7215,7560,10441,475300,SOL 반도체전공정
2025-01-09,7560,7575,7455,7510,10270,475300,SOL 반도체전공정
2025-01-10,7400,7540,7400,7400,43853,475300,SOL 반도체전공정
2025-01-13,7380,7510,7350,7380,24707,475300,SOL 반도체전공정
2025-01-14,7380,7410,7335,7410,5317,475300,SOL 반도체전공정
2025-01-15,7515,7535,7380,7420,5258,475300,SOL 반도체전공정
2025-01-16,7490,7495,7420,7450,6581,475300,SOL 반도체전공정
2025-01-17,7400,7670,7400,7655,22254,475300,SOL 반도체전공정
2025-01-20,7700,7750,7665,7710,7603,475300,SOL 반도체전공정
2025-01-21,7750,7845,7635,7780,14319,475300,SOL 반도체전공정
2025-01-22,7780,7780,7590,7745,13253,475300,SOL 반도체전공정
2025-01-23,7740,7740,7520,7545,8462,475300,SOL 반도체전공정
2025-01-24,7545,7770,7545,7680,8278,475300,SOL 반도체전공정
2025-01-31,7600,7600,7265,7310,15256,475300,SOL 반도체전공정
2025-02-03,7165,7165,6855,6910,18335,475300,SOL 반도체전공정
2025-02-04,7125,7125,6955,6970,6095,475300,SOL 반도체전공정
2025-02-05,7150,7225,7080,7135,9672,475300,SOL 반도체전공정
2025-02-06,7175,7315,7120,7315,14352,475300,SOL 반도체전공정
2025-02-07,7325,7480,7305,7440,16041,475300,SOL 반도체전공정
2025-02-10,7355,7620,7200,7590,20508,475300,SOL 반도체전공정
2025-02-11,7635,7735,7500,7665,41955,475300,SOL 반도체전공정
2025-02-12,7670,7675,7560,7610,22081,475300,SOL 반도체전공정
2025-02-13,7655,7795,7650,7720,32614,475300,SOL 반도체전공정
2025-02-14,7835,7980,7740,7885,78505,475300,SOL 반도체전공정
2025-02-17,7990,8030,7890,7890,40034,475300,SOL 반도체전공정
2025-02-18,7965,8035,7895,8035,50313,475300,SOL 반도체전공정
2025-02-19,8090,8450,8070,8370,110619,475300,SOL 반도체전공정
2025-02-20,8370,8425,8220,8260,51366,475300,SOL 반도체전공정
2025-02-21,8270,8270,8030,8180,74589,475300,SOL 반도체전공정
2025-02-24,8010,8090,7980,8060,53464,475300,SOL 반도체전공정
2025-02-25,8000,8180,7975,8070,38351,475300,SOL 반도체전공정
2025-02-26,8105,8105,7945,7980,57617,475300,SOL 반도체전공정
2025-02-27,8055,8090,7840,7860,31069,475300,SOL 반도체전공정
2025-02-28,7680,7695,7535,7540,46477,475300,SOL 반도체전공정
2025-03-04,7500,7500,7330,7470,16574,475300,SOL 반도체전공정
2025-03-05,7495,7575,7465,7560,16134,475300,SOL 반도체전공정
2025-03-06,7565,7680,7355,7385,12253,475300,SOL 반도체전공정
2025-03-07,7295,7505,7295,7455,19980,475300,SOL 반도체전공정
2025-03-10,7475,7530,7445,7485,31700,475300,SOL 반도체전공정
2025-03-11,7180,7435,7180,7435,28063,475300,SOL 반도체전공정
2025-03-12,7515,7840,7510,7840,72472,475300,SOL 반도체전공정
2025-03-13,8005,8055,7775,7780,88313,475300,SOL 반도체전공정
2025-03-14,7775,8135,7775,8100,50662,475300,SOL 반도체전공정
2025-03-17,8240,8340,8147,8300,82657,475300,SOL 반도체전공정
