날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-10,3845,3900,3840,3900,252417,365000,TIGER 인터넷TOP10
2024-12-11,3925,3990,3925,3985,215061,365000,TIGER 인터넷TOP10
2024-12-12,4020,4040,3895,3940,227812,365000,TIGER 인터넷TOP10
2024-12-13,3935,4115,3935,4115,588829,365000,TIGER 인터넷TOP10
2024-12-16,4135,4165,4045,4050,373164,365000,TIGER 인터넷TOP10
2024-12-17,4050,4075,3985,4010,93172,365000,TIGER 인터넷TOP10
2024-12-18,4010,4010,3920,3970,183821,365000,TIGER 인터넷TOP10
2024-12-19,3875,3880,3810,3830,174151,365000,TIGER 인터넷TOP10
2024-12-20,3830,3845,3775,3800,588239,365000,TIGER 인터넷TOP10
2024-12-23,3825,3825,3700,3750,226968,365000,TIGER 인터넷TOP10
2024-12-24,3750,3755,3720,3730,86879,365000,TIGER 인터넷TOP10
2024-12-26,3735,3765,3685,3735,129620,365000,TIGER 인터넷TOP10
2024-12-27,3740,3755,3640,3680,95791,365000,TIGER 인터넷TOP10
2024-12-30,3685,3730,3650,3720,119760,365000,TIGER 인터넷TOP10
2025-01-02,3720,3750,3635,3675,102300,365000,TIGER 인터넷TOP10
2025-01-03,3700,3760,3695,3725,439487,365000,TIGER 인터넷TOP10
2025-01-06,3720,3725,3680,3690,771136,365000,TIGER 인터넷TOP10
2025-01-07,3690,3745,3655,3675,122997,365000,TIGER 인터넷TOP10
2025-01-08,3650,3670,3630,3640,137714,365000,TIGER 인터넷TOP10
2025-01-09,3640,3640,3595,3625,128229,365000,TIGER 인터넷TOP10
2025-01-10,3635,3640,3600,3630,102341,365000,TIGER 인터넷TOP10
2025-01-13,3615,3655,3595,3625,46101,365000,TIGER 인터넷TOP10
2025-01-14,3630,3655,3620,3640,146126,365000,TIGER 인터넷TOP10
2025-01-15,3650,3690,3600,3645,158945,365000,TIGER 인터넷TOP10
2025-01-16,3685,3700,3640,3650,125651,365000,TIGER 인터넷TOP10
2025-01-17,3650,3650,3590,3640,71192,365000,TIGER 인터넷TOP10
2025-01-20,3645,3645,3610,3620,61129,365000,TIGER 인터넷TOP10
2025-01-21,3630,3660,3595,3635,118057,365000,TIGER 인터넷TOP10
2025-01-22,3655,3730,3655,3705,317910,365000,TIGER 인터넷TOP10
2025-01-23,3725,3765,3715,3730,322431,365000,TIGER 인터넷TOP10
2025-01-24,3715,3755,3705,3720,89672,365000,TIGER 인터넷TOP10
2025-01-31,3770,3930,3770,3910,1955529,365000,TIGER 인터넷TOP10
2025-02-03,3900,3995,3865,3990,577002,365000,TIGER 인터넷TOP10
2025-02-04,4085,4130,4040,4080,1361921,365000,TIGER 인터넷TOP10
2025-02-05,4145,4365,4135,4340,2133595,365000,TIGER 인터넷TOP10
2025-02-06,4355,4610,4320,4605,1500188,365000,TIGER 인터넷TOP10
2025-02-07,4625,4655,4490,4525,1643717,365000,TIGER 인터넷TOP10
2025-02-10,4560,4605,4400,4410,1127251,365000,TIGER 인터넷TOP10
2025-02-11,4410,4480,4335,4420,957268,365000,TIGER 인터넷TOP10
2025-02-12,4425,4425,4325,4395,541771,365000,TIGER 인터넷TOP10
2025-02-13,4385,4390,4260,4270,897419,365000,TIGER 인터넷TOP10
2025-02-14,4315,4325,4260,4260,410986,365000,TIGER 인터넷TOP10
2025-02-17,4320,4325,4200,4215,882280,365000,TIGER 인터넷TOP10
2025-02-18,4240,4285,4160,4285,561479,365000,TIGER 인터넷TOP10
2025-02-19,4280,4280,4215,4240,502528,365000,TIGER 인터넷TOP10
2025-02-20,4220,4295,4195,4215,1125393,365000,TIGER 인터넷TOP10
2025-02-21,4225,4270,4215,4255,419502,365000,TIGER 인터넷TOP10
2025-02-24,4200,4200,4125,4180,399734,365000,TIGER 인터넷TOP10
2025-02-25,4140,4180,4120,4165,409910,365000,TIGER 인터넷TOP10
2025-02-26,4195,4320,4195,4300,878698,365000,TIGER 인터넷TOP10
2025-02-27,4350,4365,4245,4270,757628,365000,TIGER 인터넷TOP10
2025-02-28,4195,4230,4115,4135,905779,365000,TIGER 인터넷TOP10
2025-03-04,4000,4105,3990,4035,336065,365000,TIGER 인터넷TOP10
2025-03-05,4095,4125,4035,4110,372374,365000,TIGER 인터넷TOP10
2025-03-06,4160,4230,4125,4195,435692,365000,TIGER 인터넷TOP10
2025-03-07,4145,4145,4060,4075,410604,365000,TIGER 인터넷TOP10
2025-03-10,4075,4165,4035,4125,363897,365000,TIGER 인터넷TOP10
2025-03-11,3945,4055,3945,4045,465570,365000,TIGER 인터넷TOP10
2025-03-12,4045,4120,4030,4100,374679,365000,TIGER 인터넷TOP10
2025-03-13,4145,4145,3975,3985,428754,365000,TIGER 인터넷TOP10
2025-03-14,3975,4010,3975,3995,185626,365000,TIGER 인터넷TOP10
2025-03-17,3995,4025,3870,3895,1679395,365000,TIGER 인터넷TOP10
